id,content,Task Id,label
7785,賭只是一場遊戲，畢竟疫情職棒撐到現在還有臺灣一可以看，當然要搭順風車，作秀而已,39,positive
7786,雙十國慶展現台灣多元面貌，許多人一起歡欣鼓舞為台灣慶生，今年因為疫情關係，少了許多外國使團祝賀，自美國德州返國的宋明麗代表僑胞致詞，發自內心熱愛家鄉的情感，陽光般的笑容，自然流露的台語賀詞「台灣是尚好的好所在」，都令人印象深刻，她是台灣南部好女兒,39,negative
7787,〔記者陳忠榮台北報導〕中央流行疫情指揮中心為提振因武漢肺炎停擺的經濟交流，研擬開放「經濟泡泡」，好讓具有特定身分入境民眾免隔離，衛福部長兼任指揮官陳時中昨日補充說明，基本上務須符合來台之必要性，以及動線分離等兩大要件才可行,39,negative
7788,圖／molly莫莉因疫情關係，今年不少人都覺得很鬱悶無法出國，但也因此更有機會好好探尋台灣的景點、征服「秘境」,39,positive
7789,瘋搶口罩快成全民運動，除電商平台一推出即秒殺外，全台連鎖超商每每推出限定色或特殊設計圖案口罩，就可見長長的排隊人龍，有民眾甚至清晨3點就起早排隊，商研院經營模式創新研究所副所長李世珍表示，全民瘋口罩現象是因疫情讓人太悶，加上是一種社會流行的認同感追求，亦是防疫生活中時尚搭配的小確幸，但如果是想賺短期快錢的轉售族，則要小心蛋塔效應,39,negative
7790,新頭殼newtalk4天累計9例確診！今天14:00中央流行疫情指揮中心召開臨時記者會，由莊人祥發言人說明新增3名境外移入個案，目前累計558例,39,negative
7791,真心覺得美國先將疫情控制下來、經濟回穩比較重要,39,negative
7792,受疫情影響，目前發往可通達國家之郵件，郵遞時效皆有所延誤,39,negative
7793,【網路地產王/綜合報導】疫情爆發這近10個月來，改變了許多觀念，在房地產中，最大的影響就是”多衛”規劃的興起，漸成主流，大受買方肯定,39,positive
7794,聽完兩邊陣營賽前訪問.接下來也要留點時間給觀眾.因為今年從疫情閉門到台灣大賽首戰破萬.大家都直呼很開心能夠進場觀戰.?陳傑憲受訪有點感性的說.當時開幕戰他就是全球開路先鋒.看到看台都沒人有點感概.如今第一戰台中破萬人.球星們也有話要跟球迷說.,39,negative
7795,歐美疫情復燃、美國總統大選即將揭曉，金融市場人心浮動，美股全面下跌，道瓊指數10月下跌4.61%，創近7個月以來最差的單月表現；國泰證期研究部分析師蔡明翰分析，美國單日確診人數破10萬人、再創新高紀錄，總統大選又有無法和平落幕的疑慮，是美股單月表現最糟的主因，恐怕會拖累台股「短期」表現,39,negative
7796,後疫情時代國旅大爆發，桃園市復興區擁有好山好水，新冠肺炎疫情期間遊客數逆勢成長，但因山區餐飲業者分散，為讓遊客方便品嘗在地美食，復興區公所與健行科技大學餐旅管理系及數位多媒體設計系共同推動「復興好食在」餐廳評選，分為桌菜組及簡餐類給予星級評定，並製作成美食地圖讓遊客按圖索驥,39,positive
7797,（中央社布里斯本1日綜合外電報導）澳洲昆士蘭州舉行地方選舉，在2019冠狀病毒疾病（COVID-19）疫情陰霾下，選民力挺與中央政府不同調、力行嚴苛防疫措施的中間偏左州政府,39,negative
7798,中央流行疫情指揮中心，今天又傳來壞消息，公布國內新增3名境外移入確診個案，中央流行疫情指揮中心為了因應「新冠肺炎疫情」，今（1）天下午兩點開召開臨時記者會，由莊人祥發言人說明《新增3名境外移入個案》等事宜,39,negative
7799,據法新社彙整官方數字資料顯示，第2波2019冠狀病毒疾病（COVID-19）疫情之下，本週至少14個歐洲國家的病毒相關住院人數達新高,39,negative
7800,疫情不顧已經威脅人民生計勞保勞退拿來炒權值股政策護航房市虛胖收入減少通貨膨脹有這種結果需要意外嗎?,39,negative
7801,你現在的哀嚎是為了明年調漲學費在鋪路？？說“因為疫情所以怎樣才要調漲學費”？,39,negative
7802,（中央社台北1日電）美國大選進入倒數計時階段，當地2019冠狀病毒疾病（COVID-19，武漢肺炎）疫情加劇，30日創下24小時內新增診逾10萬人的空前紀錄,39,negative
7803,「2020藥師佛文化節」今（1）日在新北市板樹體育館隆重展開，市長侯友宜特別到場禮佛，和慈法禪寺住持淨耀法師及海內外僧?，共同祝禱新冠肺炎疫情結束，全球民眾健康平安,39,positive
7804,跟疫情無關,39,positive
7805,越南是台灣第2大境外學生來源地，為擴大生源，受疫情影響，駐越南代表處首度以線上方式舉行台灣高教展，尖峰時刻逾3000人同時在線,39,positive
7806,台北31日電台灣民眾喜愛登山，今年因疫情，戶外活動大增，根據內政部今天公布最新統計，1至9月空勤總隊以「空中救難」占5大飛行任務的42.6％比率最高；其中「山難搜救」100架次，較去年同期增加1倍，救援、救護人數52人，較去年同期增加1.9倍,39,negative
7807,食物都來了不吃白不吃美國人真的也蠻蠢的這次疫情後還覺得什麼歐美好日本棒人民素質呱呱叫的應該要隔離了應該病毒侵腦了白癡,39,negative
7808,笑話嗎？搞個貿易戰，疫情失敗造成多次融斷暴跌史上最強，股市都是大戶操作，一般人都是等著被割韭菜,39,negative
7809,（中央社米蘭/巴黎31日綜合外電報導）義大利衛生部今天表示，境內過去24小時新增3萬1758人確診感染2019冠狀病毒疾病（COVID-19），創下疫情爆發以來新高紀錄，改寫30日創下的3萬1084人染疫紀錄,39,negative
7810,受歐美疫情反覆、美國總統大選的干擾，台股上周明顯走跌,39,negative
7811,一直都是境外移入就知道國外疫情嚴重還一直開放進來是在幹嘛？嫌台灣事情太少是嗎？,39,negative
7812,最近歐美疫情變嚴重了，有的國家甚至比年初時還嚴重，在這種節骨眼關鍵時刻，不宜作如此變動，起碼要等國際疫情減緩,39,negative
7813,身為海島型國家的台灣不可諱言這次疫情下是佔了先天地理上的優勢，但切亦不可輕忽！願國際疫情能愈趨可控且完整健康之疫苗早點問世！,39,positive
7814,中央流行疫情指揮中心正研擬開放「經濟泡泡」，指揮官、衛福部長陳時中表示，必須同時符合來台必要性、動線分離等兩大條件,39,positive
7815,（中央社紐約31日綜合外電報導）年終購物季即將到來，美國零售業者今年提早數週開始徵雇臨時工，不過2019冠狀病毒疾病（COVID-19）疫情影響下，徵才內容跟往年有些不同,39,positive
7816,新冠肺炎疫情衝擊，許多弱勢邊緣戶就業機會受到影響，高雄市社會局和社團法人「高雄市明燈慈善會」，今在苓雅社福中心發起「點燈活動」，發放紓困禮券，提供高雄市無福利資格的弱勢邊緣戶1000戶，每戶發放1000元，舒緩弱勢家庭經濟負荷,39,positive
7817,▲今年因疫情縮小比賽規模，嚴守防疫規範,39,positive
7818,董至成為到大陸發展請辭節目疫情爆發事業兩頭空,39,negative
7819,昨29日才報導新增病例單日逾九萬創新高.今30日就又再報導美國單日確診破10萬!這是川普的功勞.他昨天還公開發表美國疫情正在好轉.真的是功德無量!,39,negative
7820,一群?匿疫情的草泥??蛆,39,negative
7821,【新唐人北京時間2020年11月01日訊】法新社彙整官方數字資料顯示，根據歐洲52個國家中的35國所提供的醫院數字，中共病毒疾病疫情持續肆虐下，本週至少14個歐洲國家的染疫住院人數達新高,39,negative
7822,（中央社記者陳偉婷台北1電）中央流行疫情指揮中心宣布，台灣今天新增3例武漢肺炎（2019冠狀病毒疾病，COVID-19）確診，全為境外移入，目前累計558例,39,negative
7823,歐美日疫情二度爆發，台灣搞不好有一半的人無症狀確診，還集會大遊行簡直是我行我素自私自利,39,negative
7824,儘管美國疫情升溫、實施邊境管控，但加拿大部分退休人士仍堅決南下避寒,39,negative
